image_name,blip_caption,vit_gpt2_caption,best_model,best_score,best_description_spanish
ohcah_cpiys_000012983.jpg,a drawing of a plan for a building,a collage of photos of a painting of a person ,0,0.999997973442078,el dibujo del plano para el edificio
ohcah_cpiys_000012998.jpg,a map of the town of poin de france,a painting of a painting of a man on a horse ,0,0.999959468841553,un mapa de la ciudad de poin de france
ohcah_cpiys_000013010.jpg,a blue piece of paper with a white line,a blue and white sheet of paper with a blue and white sheet of paper ,1,0.858797430992127,una hoja de papel azul y blanco con una hoja de papel azul y blanco
ohcah_cpiys_000012986.jpg,a drawing of a house with a lot of rooms,a drawing of a drawing of a person on a sheet ,0,0.598870396614075,un dibujo de una casa con un montón de habitaciones
ohcah_cpiys_000012981.jpg,a map of the area of the battle of waterloo,a painting of a person holding a piece of paper ,0,0.999995231628418,un mapa de la zona de la batalla de Waterloo
ohcah_cpiys_000012994.jpg,a blue cutting mat with a black border,a blue sky with a blue sky background ,0,0.999031901359558,una estera de corte azul con un borde negro
ohcah_cpiys_000012992.jpg,a blue piece of paper with a line of lines,a blue and white photo of a window ,0,0.998655319213867,un pedazo de papel azul con una línea de líneas
ohcah_cpiys_000012995.jpg,"a map of the city of new york, new york, new york, and new york",a painting of a painting of a person holding a paper ,0,0.999992370605469,"un mapa de la ciudad de Nueva York, Nueva York, Nueva York y Nueva York"
ohcah_cpiys_000012993.jpg,a piece of blue paper with a black background,a blue and white window with a blue and white background ,0,0.997915208339691,un pedazo de papel azul con un fondo negro
ohcah_cpiys_000012984.jpg,a map of the area of the battle of the somme,a map of a city with a bunch of writing on it ,0,0.999831557273865,un mapa de la zona de la batalla del somme
ohcah_cpiys_000012989.jpg,"a map of the city of toledo, spain",a painting of a mountain with a picture of a train on it ,0,0.999927878379822,"un mapa de la ciudad de toledo, España"
